"drug","gene"
"DB06937","ESR1"
"DB01108","ESR1"
"DB01406","ESR1"
"DB01196","ESR1"
"DB08398","ESR1"
"DB01185","ESR1"
"DB01645","ESR1"
"DB07086","ESR1"
"DB00655","ESR1"
"DB04574","ESR1"
"DB04020","ESR1"
"DB00286","ESR1"
"DB00947","ESR1"
"DB02715","ESR1"
"DB07757","ESR1"
"DB00294","ESR1"
"DB07009","ESR1"
"DB04471","ESR1"
"DB07678","ESR1"
"DB07715","ESR1"
"DB07236","ESR1"
"DB01357","ESR1"
"DB07712","ESR1"
"DB07087","ESR1"
"DB01025","IL3"
"DB00157","AKR1C1"
"DB03461","AKR1C1"
"DB07931","AKR1C1"
"DB00936","AKR1C1"
"DB07768","AKR1C1"
"DB00603","AKR1C1"
"DB00945","AKR1C1"
"DB00784","AKR1C1"
"DB04674","AKR1C1"
"DB00157","HIBADH"
"DB00897","GABRR1"
"DB00690","GABRR1"
"DB00829","GABRR1"
"DB00628","GABRR1"
"DB00466","GABRR1"
"DB00546","GABRR1"
"DB01589","GABRR1"
"DB01567","GABRR1"
"DB01558","GABRR1"
"DB01068","GABRR1"
"DB00842","GABRR1"
"DB01588","GABRR1"
"DB00231","GABRR1"
"DB02530","GABRR1"
"DB01559","GABRR1"
"DB00801","GABRR1"
"DB01215","GABRR1"
"DB01594","GABRR1"
"DB00186","GABRR1"
